Date,Open,High,Low,Close,Volume
09/07/2021,"125.90","126.55","118.60","119.70","42,995"
09/06/2021,"129.90","129.90","120.55","123.45","19,437"
09/03/2021,"128.60","129.80","123.00","123.85","36,769"
09/02/2021,"133.05","133.05","126.55","127.05","36,377"
09/01/2021,"138.70","138.95","131.55","132.25","9,869"
08/31/2021,"138.80","141.50","135.00","136.45","6,966"
08/30/2021,"131.10","135.65","129.55","135.30","12,009"
08/27/2021,"132.80","133.65","128.50","129.25","8,580"
08/26/2021,"131.95","134.10","126.95","132.00","41,813"
08/25/2021,"125.90","129.50","125.60","127.80","30,725"
08/24/2021,"127.00","128.15","116.00","123.40","40,442"
08/23/2021,"134.85","134.85","122.05","122.05","8,138"
08/20/2021,"123.90","132.55","123.90","128.45","13,666"
08/18/2021,"132.75","133.30","128.50","128.90","12,375"
08/17/2021,"148.00","148.00","135.00","135.25","21,575"
08/16/2021,"142.10","142.10","141.00","142.10","30,152"
08/13/2021,"129.05","135.35","123.00","135.35","163,800"
08/12/2021,"128.00","135.00","125.00","128.95","114,828"
08/11/2021,"131.55","133.50","131.55","131.55","78,496"
08/10/2021,"145.80","147.95","138.45","138.45","18,770"
08/09/2021,"157.00","157.00","144.00","145.70","36,577"
08/06/2021,"145.00","154.95","145.00","150.85","57,834"
08/05/2021,"163.60","163.60","148.10","148.60","352,730"
08/04/2021,"155.85","155.85","155.85","155.85","7,209"
08/03/2021,"148.45","148.45","148.45","148.45","46,184"
08/02/2021,"141.40","141.40","140.60","141.40","169,159"
07/30/2021,"128.10","134.70","128.10","134.70","207,033"
07/29/2021,"129.90","132.50","127.35","128.30","152,386"
07/28/2021,"133.00","133.00","125.00","126.55","259,219"
07/27/2021,"126.70","126.70","123.70","126.70","179,163"
07/26/2021,"113.00","115.20","113.00","115.20","195,200"
07/23/2021,"105.85","107.00","100.25","104.75","62,400"
07/22/2021,"104.00","104.00","99.50","101.00","11,200"
07/20/2021,"95.65","99.90","95.65","99.50","33,600"
07/19/2021,"97.10","101.00","97.10","99.45","60,800"
07/16/2021,"91.20","95.00","90.00","92.25","128,000"
07/15/2021,"101.00","102.85","96.00","98.00","92,800"
07/14/2021,"107.10","107.20","104.00","105.00","68,800"
07/13/2021,"113.50","113.50","102.00","105.40","136,000"
07/12/2021,"105.90","110.30","100.00","108.75","196,800"
07/09/2021,"103.50","103.60","98.10","100.50","49,600"
07/08/2021,"93.20","100.30","93.20","99.95","60,800"
07/07/2021,"98.00","98.90","91.00","98.70","174,400"
07/06/2021,"92.00","98.50","88.00","97.75","275,200"
07/05/2021,"89.45","94.20","81.15","90.90","124,800"
07/02/2021,"88.00","89.00","86.00","86.00","9,600"
07/01/2021,"89.80","90.00","88.50","88.50","24,000"
06/30/2021,"84.00","88.90","81.00","87.00","145,600"
06/29/2021,"72.00","80.85","72.00","80.85","96,000"
06/28/2021,"71.75","71.75","64.90","67.40","11,200"
06/25/2021,"74.00","74.00","62.00","65.60","9,600"
06/24/2021,"65.75","70.00","65.00","66.55","14,400"
06/23/2021,"68.25","68.25","64.00","64.00","3,200"
06/22/2021,"67.80","67.80","62.00","62.00","3,200"
06/17/2021,"70.00","70.00","56.00","62.80","16,000"
06/16/2021,"56.50","64.95","54.00","60.45","44,800"
06/15/2021,"49.85","54.90","49.85","54.45","9,600"
06/14/2021,"48.85","53.90","48.85","51.00","25,600"
06/11/2021,"48.35","55.00","48.35","55.00","3,200"
06/09/2021,"57.45","57.70","47.55","47.55","36,800"
06/08/2021,"48.10","48.10","48.10","48.10","41,600"
06/07/2021,"48.10","48.10","48.10","48.10","88,000"
06/04/2021,"51.10","51.85","51.10","51.85","3,200"
06/03/2021,"50.25","50.85","50.25","50.85","20,800"
06/02/2021,"49.90","49.90","49.90","49.90","16,000"
06/01/2021,"49.75","49.75","49.75","49.75","89,600"
05/31/2021,"51.20","51.20","47.85","49.55","4,800"
05/28/2021,"47.35","47.35","46.80","46.80","3,200"
05/27/2021,"44.25","51.70","44.20","51.70","203,200"
